Subject,Start Date,Start Time,End Time
Period 1,8/31/2022,7:45 AM,8:30 AM
Period 2,8/31/2022,8:35 AM,9:17 AM
Period 3,8/31/2022,9:52 AM,10:34 AM
Period 4,8/31/2022,10:39 AM,11:21 AM
Lunch,8/31/2022,11:21 AM,12:09 PM
Period 5,8/31/2022,12:14 PM,12:56 PM
Period 6,8/31/2022,1:01 PM,1:43 PM
Period 7,8/31/2022,1:48 PM,2:30 PM
Advisory,8/31/2022,9:22 AM,9:47 AM
Period 1,9/1/2022,7:45 AM,8:52 AM
Period 2,9/1/2022,8:57 AM,9:40 AM
Period 3,9/1/2022,9:45 AM,10:28 AM
Period 4,9/1/2022,10:33 AM,11:16 AM
Lunch,9/1/2022,11:16 AM,12:06 PM
Period 5,9/1/2022,12:11 PM,12:54 PM
Period 6,9/1/2022,12:59 PM,1:42 PM
Period 7,9/1/2022,1:47 PM,2:30 PM
Period 1,9/6/2022,7:45 AM,8:33 AM
Period 2,9/6/2022,8:38 AM,9:40 AM
Period 3,9/6/2022,9:45 AM,10:28 AM
Period 4,9/6/2022,10:33 AM,11:16 AM
Lunch,9/6/2022,11:16 AM,12:06 PM
Period 5,9/6/2022,12:11 PM,12:54 PM
Period 6,9/6/2022,12:59 PM,1:42 PM
Period 7,9/6/2022,1:47 PM,2:30 PM
Period 1,9/7/2022,7:45 AM,8:30 AM
Period 2,9/7/2022,8:35 AM,9:17 AM
Period 3,9/7/2022,9:52 AM,10:34 AM
Period 4,9/7/2022,10:39 AM,11:21 AM
Lunch,9/7/2022,11:21 AM,12:09 PM
Period 5,9/7/2022,12:14 PM,12:56 PM
Period 6,9/7/2022,1:01 PM,1:43 PM
Period 7,9/7/2022,1:48 PM,2:30 PM
Advisory,9/7/2022,9:22 AM,9:47 AM
Period 1,9/8/2022,7:45 AM,8:33 AM
Period 2,9/8/2022,8:38 AM,9:21 AM
Period 3,9/8/2022,9:26 AM,10:28 AM
Period 4,9/8/2022,10:33 AM,11:16 AM
